 alpha=   1.25000000000000      ma=  0.800000000000000     
       1.31468913       0.42616080       0.13209053       4.12744394  
       1.30316402       0.37688576       0.13266061       4.12366071  
       1.33445486       0.31451717       0.06923737       4.19621326  
       0.74940064       0.94090041       0.17754367       2.52265902  
       0.86819235       0.97540661      -0.18110600       2.89324512  
       0.88836822       0.99259893      -0.18587450       2.96805963  
       0.77064596       0.96672038       0.18229381       2.60691075  
       1.09134008       0.63678558      -0.48077455       3.49675553  
       0.93245712       0.69079044       0.57653823       3.01612462  
       0.96265836       0.98403787      -0.24299041       3.18034667  
       0.84423838       1.00031582       0.26223554       2.83934306  
       0.93828469       0.87690826       0.41589923       3.11190356  
       1.05754255       0.83990894      -0.38277251       3.46366090  
       1.25474544       0.46450538       0.24608812       3.95514884  
       1.27521243       0.44915806      -0.12651007       4.01354662  
       0.91411434       0.93646088       0.37430097       3.03088453  
       1.02761399       0.91182053      -0.33063029       3.35911687  
       1.31558251       0.41501494       0.04243182       4.16973506  
       0.94927967       0.99481310      -0.22700862       3.14365455  
       0.83471725       1.00638804       0.24095225       2.81225444  
       1.20423717       0.38271421       0.61935143       3.84694160  
       1.24081034       0.35675571      -0.48869402       3.95571631  
       0.93609668       0.99893110      -0.22117073       3.10378964  
       0.82260560       1.00518494       0.23568029       2.77586718  
       0.73904963       0.94305546       0.16124615       2.49304216  
       0.85613818       0.98099783      -0.16507955       2.85869865  
       1.27853778       0.64978040       0.24232116       4.10764135  
       1.02735862       0.94516213      -0.32536955       3.37991492  
       0.92195178       0.97636287       0.36341374       3.08612867  
       0.91330545       1.01555838      -0.20232806       3.04569520  
       0.79795957       1.00787786       0.20607899       2.70835438  
       0.87446229       0.99889728      -0.16755554       2.92736021  
       0.75886129       0.96903561       0.16264669       2.57195067  
       0.89701388       1.00941503      -0.19420523       2.99033084  
       1.01045808       0.81160786       0.48452055       3.33526625  
       1.12819080       0.74375998      -0.42664647       3.67674260  
       0.77966053       0.99288527       0.19662054       2.64241255  
       0.99169316       0.96247683      -0.27144160       3.26312610  
       0.87917701       0.98458668       0.30207639       2.93875834  
       1.29698789       0.61804566      -0.10846304       4.15617761  
       0.98684630       0.96724529      -0.26890451       3.25099656  
       0.87849711       0.99040258       0.30325321       2.94232697  
       1.29449182       0.68251781       0.33129257       4.19083033  
       0.97493207       0.97468257      -0.24502365       3.21218328  
       0.86519045       0.99554298       0.27371334       2.89698077  
       0.73159902       0.94631375       0.14599830       2.47246743  
       0.84731283       0.98658877      -0.15049046       2.83400730  
       1.16131847       0.62212246      -0.50844439       3.77181628  
       1.09342292       0.66515585       0.66610692       3.62360413  
       1.27209428       0.52814644      -0.01961662       4.01720445  
       1.33591737       0.60141899      -0.19237809       4.29627952  
       0.96023216       0.89406674       0.42974432       3.16091057  
       1.06808617       0.86136397      -0.36546067       3.47046816  
       1.26315781       0.53089258       0.18001277       3.99359342  
       1.25507625       0.56110883      -0.12647318       3.97125732  
       0.95957744       0.98665721      -0.22602027       3.16870094  
       0.84865804       1.00195553       0.24967341       2.84794164  
       1.25180024       0.54976004       0.25995334       3.97771429  
       0.86410339       1.00362107      -0.15029852       2.89694713  
       0.74816670       0.97049191       0.14557935       2.54033050  
       0.93203971       1.00513262      -0.20750647       3.09449153  
       0.82094525       1.01065807       0.21919446       2.77192071  
       0.91819547       1.00755880      -0.20101712       3.05166041  
       0.80762120       1.00801783       0.21241131       2.73067773  
       0.72392888       0.94939189       0.13299379       2.45176657  
